tenantcode,email,employeecode,attendancedate,systemintime,systemouttime,manualintime,manualouttime,appliedreason,applieddate,appliedby,status,statuschangedby,statuschangeddate,statuschangedreason,createddate,createdby,modifieddate,modifiedby,reportingto,attendancetype
P5C9754020,susan.mcglynn@namco.com,100000003456,2023-06-26,19:16,06:53,23:06,22:36,Shift Correction,2023-06-26,100000003456,Pending,,,,2023-06-26,100000003456,,,100000001917,WorkingDay
P5C9754020,susan.mcglynn@namco.com,100000003456,2023-06-28,20:44,21:37,21:20,08:22,Forgot To Punch,2023-06-28,100000003456,Pending,,,,2023-06-28,100000003456,,,100000001917,WorkingDay
P5C9754020,lamont.langosh@namco.com,100000003457,2023-06-29,21:30,11:12,12:34,02:11,Shift Correction,2023-06-29,100000003457,Rejected,,,,2023-06-29,100000003457,,,100000001917,WorkingDay
P5C9754020,lamont.langosh@namco.com,100000003457,2023-06-28,13:59,19:40,22:22,07:22,Forgot To Punch,2023-06-28,100000003457,Pending,,,,2023-06-28,100000003457,,,100000001917,WorkingDay
P5C9754020,lamont.langosh@namco.com,100000003457,2023-06-26,10:21,20:58,22:44,09:30,Forgot To Punch,2023-06-26,100000003457,Rejected,,,,2023-06-26,100000003457,,,100000001917,WorkingDay
P5C9754020,lamont.langosh@namco.com,100000003457,2023-06-27,13:43,19:37,01:47,22:08,Forgot To Punch,2023-06-27,100000003457,Rejected,,,,2023-06-27,100000003457,,,100000001917,WorkingDay
P5C9754020,lamont.langosh@namco.com,100000003457,2023-07-01,08:28,09:42,16:28,08:07,Forgot To Punch,2023-07-01,100000003457,Pending,,,,2023-07-01,100000003457,,,100000001917,WorkingDay
P5C9754020,lamont.langosh@namco.com,100000003457,2023-06-30,12:34,02:02,00:01,18:23,Forgot To Punch,2023-06-30,100000003457,Rejected,,,,2023-06-30,100000003457,,,100000001917,WorkingDay
P5C9754020,rodrigo.gibson@namco.com,100000003458,2023-07-01,20:37,10:38,15:29,17:51,Shift Correction,2023-07-01,100000003458,Rejected,,,,2023-07-01,100000003458,,,100000001917,WorkingDay
P5C9754020,rodrigo.gibson@namco.com,100000003458,2023-06-27,12:03,04:17,21:09,05:11,Others,2023-06-27,100000003458,Rejected,,,,2023-06-27,100000003458,,,100000001917,WorkingDay
P5C9754020,rodrigo.gibson@namco.com,100000003458,2023-06-26,03:06,09:08,01:25,07:09,Forgot To Punch,2023-06-26,100000003458,Rejected,,,,2023-06-26,100000003458,,,100000001917,WorkingDay
P5C9754020,rodrigo.gibson@namco.com,100000003458,2023-06-30,17:56,22:33,22:58,04:15,Work From Home,2023-06-30,100000003458,Pending,,,,2023-06-30,100000003458,,,100000001917,WorkingDay
P5C9754020,rodrigo.gibson@namco.com,100000003458,2023-06-29,17:46,02:18,23:04,20:12,Forgot To Punch,2023-06-29,100000003458,Rejected,,,,2023-06-29,100000003458,,,100000001917,WorkingDay
P5C9754020,rodrigo.gibson@namco.com,100000003458,2023-06-28,14:50,12:00,00:05,01:24,Work From Home,2023-06-28,100000003458,Pending,,,,2023-06-28,100000003458,,,100000001917,WorkingDay
P5C9754020,wendy.moen@namco.com,100000003459,2023-07-01,12:56,07:12,22:25,16:04,Others,2023-07-01,100000003459,Pending,,,,2023-07-01,100000003459,,,100000001917,WorkingDay
P5C9754020,wendy.moen@namco.com,100000003459,2023-06-28,03:10,11:21,17:13,11:51,Shift Correction,2023-06-28,100000003459,Rejected,,,,2023-06-28,100000003459,,,100000001917,WorkingDay
P5C9754020,wendy.moen@namco.com,100000003459,2023-06-27,05:45,18:46,18:15,07:33,Forgot To Punch,2023-06-27,100000003459,Pending,,,,2023-06-27,100000003459,,,100000001917,WorkingDay
P5C9754020,wendy.moen@namco.com,100000003459,2023-06-26,16:41,09:40,06:53,09:02,Work From Home,2023-06-26,100000003459,Rejected,,,,2023-06-26,100000003459,,,100000001917,WorkingDay
P5C9754020,wendy.moen@namco.com,100000003459,2023-06-30,16:09,05:24,01:04,13:42,Shift Correction,2023-06-30,100000003459,Rejected,,,,2023-06-30,100000003459,,,100000001917,WorkingDay
P5C9754020,wendy.moen@namco.com,100000003459,2023-06-29,12:54,21:58,17:10,02:28,Shift Correction,2023-06-29,100000003459,Pending,,,,2023-06-29,100000003459,,,100000001917,WorkingDay
P5C9754020,casper.lemke@namco.com,100000003460,2023-06-26,17:28,00:38,02:30,22:28,Shift Correction,2023-06-26,100000003460,Rejected,,,,2023-06-26,100000003460,,,100000001917,WorkingDay
P5C9754020,casper.lemke@namco.com,100000003460,2023-06-29,21:04,08:37,03:00,02:56,Others,2023-06-29,100000003460,Rejected,,,,2023-06-29,100000003460,,,100000001917,WorkingDay
P5C9754020,casper.lemke@namco.com,100000003460,2023-06-28,11:56,11:25,20:33,01:56,Work From Home,2023-06-28,100000003460,Rejected,,,,2023-06-28,100000003460,,,100000001917,WorkingDay
P5C9754020,casper.lemke@namco.com,100000003460,2023-07-01,05:57,15:44,15:45,07:01,Others,2023-07-01,100000003460,Pending,,,,2023-07-01,100000003460,,,100000001917,WorkingDay
P5C9754020,casper.lemke@namco.com,100000003460,2023-06-27,16:56,21:49,18:09,22:14,Work From Home,2023-06-27,100000003460,Rejected,,,,2023-06-27,100000003460,,,100000001917,WorkingDay
P5C9754020,casper.lemke@namco.com,100000003460,2023-06-30,00:14,17:09,05:19,09:03,Work From Home,2023-06-30,100000003460,Rejected,,,,2023-06-30,100000003460,,,100000001917,WorkingDay
P5C9754020,audreanne.abernathy@namco.com,100000003461,2023-06-27,14:45,15:37,10:53,19:57,Others,2023-06-27,100000003461,Pending,,,,2023-06-27,100000003461,,,100000001917,WorkingDay
P5C9754020,audreanne.abernathy@namco.com,100000003461,2023-06-28,20:23,16:52,04:19,12:49,Others,2023-06-28,100000003461,Rejected,,,,2023-06-28,100000003461,,,100000001917,WorkingDay
P5C9754020,audreanne.abernathy@namco.com,100000003461,2023-06-26,03:00,06:22,20:47,18:06,Forgot To Punch,2023-06-26,100000003461,Pending,,,,2023-06-26,100000003461,,,100000001917,WorkingDay
P5C9754020,audreanne.abernathy@namco.com,100000003461,2023-06-30,13:12,11:42,11:15,00:09,On Duty,2023-06-30,100000003461,Pending,,,,2023-06-30,100000003461,,,100000001917,WorkingDay
P5C9754020,audreanne.abernathy@namco.com,100000003461,2023-07-01,20:50,03:00,19:21,23:52,Forgot To Punch,2023-07-01,100000003461,Rejected,,,,2023-07-01,100000003461,,,100000001917,WorkingDay
P5C9754020,audreanne.abernathy@namco.com,100000003461,2023-06-29,09:40,12:01,17:23,21:31,Others,2023-06-29,100000003461,Pending,,,,2023-06-29,100000003461,,,100000001917,WorkingDay
P5C9754020,juston.bartoletti@namco.com,100000003462,2023-06-28,20:22,05:17,07:21,18:54,Shift Correction,2023-06-28,100000003462,Rejected,,,,2023-06-28,100000003462,,,100000001917,WorkingDay
P5C9754020,juston.bartoletti@namco.com,100000003462,2023-06-27,15:36,11:49,12:14,00:56,Work From Home,2023-06-27,100000003462,Cancelled,,,,2023-06-27,100000003462,,,100000001917,WorkingDay
P5C9754020,juston.bartoletti@namco.com,100000003462,2023-06-26,01:12,12:28,19:59,18:54,On Duty,2023-06-26,100000003462,Cancelled,,,,2023-06-26,100000003462,,,100000001917,WorkingDay
P5C9754020,juston.bartoletti@namco.com,100000003462,2023-06-30,14:52,01:45,05:58,06:38,On Duty,2023-06-30,100000003462,Pending,,,,2023-06-30,100000003462,,,100000001917,WorkingDay
P5C9754020,juston.bartoletti@namco.com,100000003462,2023-07-01,14:08,05:55,14:36,10:18,Forgot To Punch,2023-07-01,100000003462,Cancelled,,,,2023-07-01,100000003462,,,100000001917,WorkingDay
P5C9754020,juston.bartoletti@namco.com,100000003462,2023-06-29,16:47,08:36,20:09,01:45,On Duty,2023-06-29,100000003462,Rejected,,,,2023-06-29,100000003462,,,100000001917,WorkingDay
P5C9754020,yesenia.hyatt@namco.com,100000003463,2023-06-28,19:50,10:27,12:06,13:25,Forgot To Punch,2023-06-28,100000003463,Pending,,,,2023-06-28,100000003463,,,100000001917,WorkingDay
P5C9754020,yesenia.hyatt@namco.com,100000003463,2023-06-30,09:42,17:37,20:30,23:37,Work From Home,2023-06-30,100000003463,Rejected,,,,2023-06-30,100000003463,,,100000001917,WorkingDay
P5C9754020,yesenia.hyatt@namco.com,100000003463,2023-07-01,05:59,17:33,03:24,11:27,Work From Home,2023-07-01,100000003463,Rejected,,,,2023-07-01,100000003463,,,100000001917,WorkingDay
P5C9754020,yesenia.hyatt@namco.com,100000003463,2023-06-26,13:51,18:37,13:17,02:31,Work From Home,2023-06-26,100000003463,Rejected,,,,2023-06-26,100000003463,,,100000001917,WorkingDay
P5C9754020,yesenia.hyatt@namco.com,100000003463,2023-06-29,07:17,23:07,16:50,12:23,Shift Correction,2023-06-29,100000003463,Cancelled,,,,2023-06-29,100000003463,,,100000001917,WorkingDay
P5C9754020,yesenia.hyatt@namco.com,100000003463,2023-06-27,10:34,14:42,04:36,05:23,Others,2023-06-27,100000003463,Rejected,,,,2023-06-27,100000003463,,,100000001917,WorkingDay
P5C9754020,king.zieme@namco.com,100000003464,2023-06-29,07:10,07:13,21:30,13:40,Work From Home,2023-06-29,100000003464,Cancelled,,,,2023-06-29,100000003464,,,100000001917,WorkingDay
P5C9754020,king.zieme@namco.com,100000003464,2023-06-26,19:13,22:54,07:38,07:29,Shift Correction,2023-06-26,100000003464,Pending,,,,2023-06-26,100000003464,,,100000001917,WorkingDay
P5C9754020,king.zieme@namco.com,100000003464,2023-06-27,13:03,06:13,01:59,11:48,Work From Home,2023-06-27,100000003464,Rejected,,,,2023-06-27,100000003464,,,100000001917,WorkingDay
P5C9754020,king.zieme@namco.com,100000003464,2023-06-28,01:11,16:20,11:13,02:46,Shift Correction,2023-06-28,100000003464,Pending,,,,2023-06-28,100000003464,,,100000001917,WorkingDay
P5C9754020,king.zieme@namco.com,100000003464,2023-06-30,11:17,17:05,11:03,07:22,Others,2023-06-30,100000003464,Pending,,,,2023-06-30,100000003464,,,100000001917,WorkingDay
P5C9754020,king.zieme@namco.com,100000003464,2023-07-01,07:41,04:26,17:19,09:47,Work From Home,2023-07-01,100000003464,Rejected,,,,2023-07-01,100000003464,,,100000001917,WorkingDay
P5C9754020,nikolas.fadel@namco.com,100000003465,2023-06-26,04:50,05:48,20:59,02:45,On Duty,2023-06-26,100000003465,Rejected,,,,2023-06-26,100000003465,,,100000001917,WorkingDay
P5C9754020,nikolas.fadel@namco.com,100000003465,2023-07-01,02:06,23:18,05:22,23:37,Others,2023-07-01,100000003465,Rejected,,,,2023-07-01,100000003465,,,100000001917,WorkingDay
P5C9754020,nikolas.fadel@namco.com,100000003465,2023-06-28,20:17,23:24,10:37,18:20,Forgot To Punch,2023-06-28,100000003465,Pending,,,,2023-06-28,100000003465,,,100000001917,WorkingDay
P5C9754020,nikolas.fadel@namco.com,100000003465,2023-06-30,06:47,18:52,18:19,11:30,Others,2023-06-30,100000003465,Pending,,,,2023-06-30,100000003465,,,100000001917,WorkingDay
P5C9754020,nikolas.fadel@namco.com,100000003465,2023-06-29,17:08,15:02,07:06,13:15,Work From Home,2023-06-29,100000003465,Rejected,,,,2023-06-29,100000003465,,,100000001917,WorkingDay
P5C9754020,nikolas.fadel@namco.com,100000003465,2023-06-27,20:03,14:33,01:54,05:13,On Duty,2023-06-27,100000003465,Cancelled,,,,2023-06-27,100000003465,,,100000001917,WorkingDay
P5C9754020,percy.reynolds@namco.com,100000003466,2023-06-28,09:55,15:06,05:59,10:18,Shift Correction,2023-06-28,100000003466,Rejected,,,,2023-06-28,100000003466,,,100000001917,WorkingDay
P5C9754020,percy.reynolds@namco.com,100000003466,2023-06-27,01:22,19:32,01:51,04:54,Work From Home,2023-06-27,100000003466,Rejected,,,,2023-06-27,100000003466,,,100000001917,WorkingDay
P5C9754020,percy.reynolds@namco.com,100000003466,2023-06-29,09:34,00:44,02:26,21:01,Forgot To Punch,2023-06-29,100000003466,Pending,,,,2023-06-29,100000003466,,,100000001917,WorkingDay
P5C9754020,percy.reynolds@namco.com,100000003466,2023-07-01,07:33,09:19,18:39,15:39,Work From Home,2023-07-01,100000003466,Rejected,,,,2023-07-01,100000003466,,,100000001917,WorkingDay
P5C9754020,percy.reynolds@namco.com,100000003466,2023-06-26,23:38,01:23,10:25,15:36,Shift Correction,2023-06-26,100000003466,Rejected,,,,2023-06-26,100000003466,,,100000001917,WorkingDay
P5C9754020,percy.reynolds@namco.com,100000003466,2023-06-30,14:52,20:19,04:46,01:16,Forgot To Punch,2023-06-30,100000003466,Rejected,,,,2023-06-30,100000003466,,,100000001917,WorkingDay
P5C9754020,americo.o'connell@namco.com,100000003467,2023-06-28,11:15,11:02,03:06,13:54,Forgot To Punch,2023-06-28,100000003467,Rejected,,,,2023-06-28,100000003467,,,100000001917,WorkingDay
P5C9754020,americo.o'connell@namco.com,100000003467,2023-06-29,23:38,09:03,03:29,06:25,Shift Correction,2023-06-29,100000003467,Pending,,,,2023-06-29,100000003467,,,100000001917,WorkingDay
P5C9754020,americo.o'connell@namco.com,100000003467,2023-06-26,00:23,13:57,11:22,21:20,Forgot To Punch,2023-06-26,100000003467,Cancelled,,,,2023-06-26,100000003467,,,100000001917,WorkingDay
P5C9754020,americo.o'connell@namco.com,100000003467,2023-06-27,21:25,07:45,11:58,18:37,Work From Home,2023-06-27,100000003467,Rejected,,,,2023-06-27,100000003467,,,100000001917,WorkingDay
P5C9754020,americo.o'connell@namco.com,100000003467,2023-07-01,19:08,10:37,10:17,23:50,Shift Correction,2023-07-01,100000003467,Cancelled,,,,2023-07-01,100000003467,,,100000001917,WorkingDay
P5C9754020,americo.o'connell@namco.com,100000003467,2023-06-30,17:42,15:31,05:00,10:08,Forgot To Punch,2023-06-30,100000003467,Pending,,,,2023-06-30,100000003467,,,100000001917,WorkingDay
P5C9754020,leora.crist@namco.com,100000003468,2023-07-01,01:59,15:53,23:37,16:14,Others,2023-07-01,100000003468,Cancelled,,,,2023-07-01,100000003468,,,100000001917,WorkingDay
P5C9754020,leora.crist@namco.com,100000003468,2023-06-30,16:34,09:22,15:22,08:39,Shift Correction,2023-06-30,100000003468,Rejected,,,,2023-06-30,100000003468,,,100000001917,WorkingDay
P5C9754020,leora.crist@namco.com,100000003468,2023-06-26,04:53,15:49,08:25,18:26,On Duty,2023-06-26,100000003468,Rejected,,,,2023-06-26,100000003468,,,100000001917,WorkingDay
P5C9754020,leora.crist@namco.com,100000003468,2023-06-29,23:59,07:27,16:17,16:52,Work From Home,2023-06-29,100000003468,Rejected,,,,2023-06-29,100000003468,,,100000001917,WorkingDay
P5C9754020,leora.crist@namco.com,100000003468,2023-06-28,19:40,19:32,12:20,23:02,Others,2023-06-28,100000003468,Cancelled,,,,2023-06-28,100000003468,,,100000001917,WorkingDay
P5C9754020,leora.crist@namco.com,100000003468,2023-06-27,09:09,06:37,20:09,10:18,On Duty,2023-06-27,100000003468,Cancelled,,,,2023-06-27,100000003468,,,100000001917,WorkingDay
P5C9754020,orville.prohaska@namco.com,100000003469,2023-06-29,15:18,11:04,22:25,05:31,Shift Correction,2023-06-29,100000003469,Rejected,,,,2023-06-29,100000003469,,,100000001917,WorkingDay
P5C9754020,orville.prohaska@namco.com,100000003469,2023-06-26,19:47,19:27,14:51,03:09,Forgot To Punch,2023-06-26,100000003469,Rejected,,,,2023-06-26,100000003469,,,100000001917,WorkingDay
P5C9754020,orville.prohaska@namco.com,100000003469,2023-07-01,15:39,21:56,00:08,04:00,Others,2023-07-01,100000003469,Pending,,,,2023-07-01,100000003469,,,100000001917,WorkingDay
P5C9754020,orville.prohaska@namco.com,100000003469,2023-06-30,11:37,07:59,08:00,18:55,On Duty,2023-06-30,100000003469,Pending,,,,2023-06-30,100000003469,,,100000001917,WorkingDay
P5C9754020,orville.prohaska@namco.com,100000003469,2023-06-28,05:57,06:15,01:10,23:33,Work From Home,2023-06-28,100000003469,Rejected,,,,2023-06-28,100000003469,,,100000001917,WorkingDay
P5C9754020,orville.prohaska@namco.com,100000003469,2023-06-27,04:50,20:24,07:28,16:43,Work From Home,2023-06-27,100000003469,Pending,,,,2023-06-27,100000003469,,,100000001917,WorkingDay
P5C9754020,gage.abernathy@namco.com,100000003470,2023-06-30,16:21,18:42,05:41,20:21,On Duty,2023-06-30,100000003470,Cancelled,,,,2023-06-30,100000003470,,,100000001917,WorkingDay
P5C9754020,gage.abernathy@namco.com,100000003470,2023-07-01,10:40,19:06,14:01,06:40,Work From Home,2023-07-01,100000003470,Rejected,,,,2023-07-01,100000003470,,,100000001917,WorkingDay
P5C9754020,gage.abernathy@namco.com,100000003470,2023-06-29,11:07,12:13,23:34,04:38,Others,2023-06-29,100000003470,Rejected,,,,2023-06-29,100000003470,,,100000001917,WorkingDay
P5C9754020,gage.abernathy@namco.com,100000003470,2023-06-28,07:26,22:47,07:45,11:14,Work From Home,2023-06-28,100000003470,Rejected,,,,2023-06-28,100000003470,,,100000001917,WorkingDay
P5C9754020,gage.abernathy@namco.com,100000003470,2023-06-26,16:53,01:57,17:29,17:18,On Duty,2023-06-26,100000003470,Rejected,,,,2023-06-26,100000003470,,,100000001917,WorkingDay
P5C9754020,gage.abernathy@namco.com,100000003470,2023-06-27,10:18,18:42,17:02,23:04,Forgot To Punch,2023-06-27,100000003470,Rejected,,,,2023-06-27,100000003470,,,100000001917,WorkingDay
P5C9754020,weldon.zieme@namco.com,100000003471,2023-06-26,18:47,13:54,12:48,06:20,Shift Correction,2023-06-26,100000003471,Rejected,,,,2023-06-26,100000003471,,,100000001917,WorkingDay
P5C9754020,weldon.zieme@namco.com,100000003471,2023-06-30,12:54,11:29,17:45,06:19,On Duty,2023-06-30,100000003471,Cancelled,,,,2023-06-30,100000003471,,,100000001917,WorkingDay
P5C9754020,weldon.zieme@namco.com,100000003471,2023-06-28,20:20,21:37,05:53,08:44,Others,2023-06-28,100000003471,Rejected,,,,2023-06-28,100000003471,,,100000001917,WorkingDay
P5C9754020,weldon.zieme@namco.com,100000003471,2023-07-01,10:19,20:55,09:28,19:19,Shift Correction,2023-07-01,100000003471,Rejected,,,,2023-07-01,100000003471,,,100000001917,WorkingDay
P5C9754020,weldon.zieme@namco.com,100000003471,2023-06-29,14:53,02:59,02:22,17:05,Others,2023-06-29,100000003471,Rejected,,,,2023-06-29,100000003471,,,100000001917,WorkingDay
P5C9754020,weldon.zieme@namco.com,100000003471,2023-06-27,09:36,07:11,23:31,13:07,On Duty,2023-06-27,100000003471,Rejected,,,,2023-06-27,100000003471,,,100000001917,WorkingDay
P5C9754020,luz.erdman@namco.com,100000003472,2023-06-29,09:53,11:30,16:23,14:36,Others,2023-06-29,100000003472,Pending,,,,2023-06-29,100000003472,,,100000001917,WorkingDay
P5C9754020,luz.erdman@namco.com,100000003472,2023-06-26,07:20,14:45,10:59,04:00,Shift Correction,2023-06-26,100000003472,Rejected,,,,2023-06-26,100000003472,,,100000001917,WorkingDay
P5C9754020,luz.erdman@namco.com,100000003472,2023-06-30,11:31,00:13,23:43,17:26,On Duty,2023-06-30,100000003472,Rejected,,,,2023-06-30,100000003472,,,100000001917,WorkingDay
P5C9754020,luz.erdman@namco.com,100000003472,2023-06-27,17:16,15:19,06:46,03:13,Shift Correction,2023-06-27,100000003472,Rejected,,,,2023-06-27,100000003472,,,100000001917,WorkingDay
P5C9754020,luz.erdman@namco.com,100000003472,2023-07-01,18:25,00:08,20:34,15:38,On Duty,2023-07-01,100000003472,Rejected,,,,2023-07-01,100000003472,,,100000001917,WorkingDay
P5C9754020,luz.erdman@namco.com,100000003472,2023-06-28,07:58,18:02,07:04,13:57,Others,2023-06-28,100000003472,Pending,,,,2023-06-28,100000003472,,,100000001917,WorkingDay
P5C9754020,abigayle.botsford@namco.com,100000003473,2023-07-01,05:29,17:34,23:19,13:02,On Duty,2023-07-01,100000003473,Pending,,,,2023-07-01,100000003473,,,100000001917,WorkingDay
P5C9754020,abigayle.botsford@namco.com,100000003473,2023-06-26,02:53,08:30,19:16,09:35,Shift Correction,2023-06-26,100000003473,Pending,,,,2023-06-26,100000003473,,,100000001917,WorkingDay
P5C9754020,abigayle.botsford@namco.com,100000003473,2023-06-30,19:24,08:53,05:19,11:47,Work From Home,2023-06-30,100000003473,Pending,,,,2023-06-30,100000003473,,,100000001917,WorkingDay
P5C9754020,abigayle.botsford@namco.com,100000003473,2023-06-29,18:24,03:13,14:32,16:28,Forgot To Punch,2023-06-29,100000003473,Pending,,,,2023-06-29,100000003473,,,100000001917,WorkingDay
P5C9754020,abigayle.botsford@namco.com,100000003473,2023-06-27,15:51,16:19,03:30,23:17,Others,2023-06-27,100000003473,Pending,,,,2023-06-27,100000003473,,,100000001917,WorkingDay
P5C9754020,abigayle.botsford@namco.com,100000003473,2023-06-28,22:06,20:15,07:11,11:37,On Duty,2023-06-28,100000003473,Pending,,,,2023-06-28,100000003473,,,100000001917,WorkingDay
P5C9754020,brain.rowe@namco.com,100000003474,2023-06-26,18:25,07:06,02:34,17:47,Forgot To Punch,2023-06-26,100000003474,Cancelled,,,,2023-06-26,100000003474,,,100000001917,WorkingDay
P5C9754020,brain.rowe@namco.com,100000003474,2023-06-28,19:33,19:44,12:25,08:03,Shift Correction,2023-06-28,100000003474,Cancelled,,,,2023-06-28,100000003474,,,100000001917,WorkingDay
P5C9754020,brain.rowe@namco.com,100000003474,2023-06-30,04:57,23:40,01:41,18:39,On Duty,2023-06-30,100000003474,Rejected,,,,2023-06-30,100000003474,,,100000001917,WorkingDay
P5C9754020,brain.rowe@namco.com,100000003474,2023-06-29,13:51,20:01,20:20,09:55,On Duty,2023-06-29,100000003474,Pending,,,,2023-06-29,100000003474,,,100000001917,WorkingDay
P5C9754020,brain.rowe@namco.com,100000003474,2023-06-27,11:31,01:20,19:06,00:59,Forgot To Punch,2023-06-27,100000003474,Rejected,,,,2023-06-27,100000003474,,,100000001917,WorkingDay
